predateur,proie,mange,selectivity,nom,origine,stade_pred,stade_proie,titre,num_vol,numero_article,DOI,annee,nom,journal
Perca fluviatilis,Sialis,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Ephemera,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gasterosteus,-1,-1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Cyclops,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Diaptomus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Daphnia,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Bythotrephes,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Leptodora,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Pupe,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gammarus,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Sialis,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Ephemera,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gasterosteus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Phoxinus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Pupe,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gammarus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Sialis,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Ephemera,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gasterosteus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Phoxinus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Perca,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Daphnia,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Pupe,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gammarus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Sialis,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Ephemera,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gasterosteus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Phoxinus,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Perca,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Cyclops,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Diaptomus,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Daphnia,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Pupe,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chaoborus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Cyclops,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Diaptomus,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Daphnia,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chaoborus,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gammarus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Cyclops,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Diaptomus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Daphnia,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Pupe,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chaoborus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Asellus,-1,-1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Mesocyclops leuckarti,Ceriodaphnia,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Mesocyclops leuckarti,Daphnia,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Cladocera,Chlorella,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Copepoda,Chlorella,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Thermocyclops decipiens,Ceriodaphnia cornuta,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Thermocyclops decipiens,Ceriodaphnia cornuta,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Thermocyclops decipiens,Diaphanosoma spinulosum,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Thermocyclops decipiens,Diaphanosoma spinulosum,-1,-1,,,,,Predatory interactions between Thermocyclops decipiens Kiefer (Cyclopoida : Copepoda) and two small cladocerans : behavior and prey post-encounter vulnerability,41,,,2005,International Journal of Limnology,Andrade A.
Perca flavescens,Holopedium gibberum,-1,-1,,,,,Use of enclosures to detect the contribution of particular zooplankton to growth of young-of-the-year perch (Perca flavescens Mitchell),81,,,1989,Oecologia,Arts M. 
Alburnus alburnus,Chironomidae,-1,3,,,,Adulte,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Rutilus rutilus,Bosmina coregoni,-1,-1,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Rutilus rutilus,Daphnia cristata,-1,-1,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Alburnus alburnus,Bosmina coregoni,-1,-1,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Rutilus rutilus,Aphanizomenon flos-aquae,-1,3,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Rutilus rutilus,Anabaena,-1,3,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Alburnus alburnus,Aphanizomenon flos-aquae,-1,3,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Alburnus alburnus,Anabaena,-1,3,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Alburnus alburnus,Insecta,-1,-1,,,,,Resource partitioning of roach Rutilus rutilus and bleak Alburnus alburnus in two eutrophic lakes in SE Norway,8,,,1985,Holarctic Ecology ,Vollestad L.
Bosmina,Asterionella formosa,0,0,,,,,Evidence of interference of Asterionella formosa with the feeding of Bosmina longirostris: a field study in a south Andes lake,224,,,1991,Hydrobiologia,Balseiro E.
Pleurobrachia bachei,Calanus pacificus,-1,-1,,,,Copepodite V,Patterns of prey selection: implications of predator foraging tactics,128,,,1986,The American Naturalist,Greene C. H.
Sagitta elegans,Calanus pacificus,-1,-1,,,,Copepodite III,Patterns of prey selection: implications of predator foraging tactics,128,,,1986,The American Naturalist,Greene C. H.
Corycaeus anglicus,Calanus pacificus,-1,-1,,,,Nauplius VI,Patterns of prey selection: implications of predator foraging tactics,128,,,1986,The American Naturalist,Greene C. H.
Euchaeta elongata,Calanus pacificus,-1,-1,,,,Copepodite I,Patterns of prey selection: implications of predator foraging tactics,128,,,1986,The American Naturalist,Greene C. H.
Tortanus discaudatus,Calanus pacificus,-1,-1,,,,Nauplius V,Patterns of prey selection: implications of predator foraging tactics,128,,,1986,The American Naturalist,Greene C. H.
Alosa pseudoharengus,Daphnia pulex,-1,-1,,,,,Feeding Modes and Prey Size Selection in the Alewife (Alosa pseudoharengus),33,,,1976,Journal  of the Fisheries Research Board of Canada,Janssen J.
Alosa pseudoharengus,Daphnia pulex,-1,-1,,,,,Feeding Modes and Prey Size Selection in the Alewife (Alosa pseudoharengus),33,,,1976,Journal  of the Fisheries Research Board of Canada,Janssen J.
Alosa pseudoharengus,Daphnia pulex,-1,-1,,,,,Feeding Modes and Prey Size Selection in the Alewife (Alosa pseudoharengus),33,,,1976,Journal  of the Fisheries Research Board of Canada,Janssen J.
Alosa pseudoharengus,Daphnia pulex,-1,-1,,,,,Feeding Modes and Prey Size Selection in the Alewife (Alosa pseudoharengus),33,,,1976,Journal  of the Fisheries Research Board of Canada,Janssen J.
Perca fluviatilis,Bythotrephes longimanus,0,0,,,,,The caudal appendage of the cladoceran Bythotrephes cederstroemi as defense against young fish,13,,,1991,Journal of Plankton Research,Barnhisel D.
Coregonus hoyi,Bythotrephes cederstroemi,-1,1,,,,,The caudal appendage of the cladoceran Bythotrephes cederstroemi as defense against young fish,13,,,1991,Journal of Plankton Research,Barnhisel D.
Alosa pseudoharengus,Bythotrephes cederstroemi,-1,1,,,,,The caudal appendage of the cladoceran Bythotrephes cederstroemi as defense against young fish,13,,,1991,Journal of Plankton Research,Barnhisel D.
Perca flavescens,Bythotrephes cederstroemi,-1,1,,,,,The caudal appendage of the cladoceran Bythotrephes cederstroemi as defense against young fish,13,,,1991,Journal of Plankton Research,Barnhisel D.
Oncorhynchus mykiss,Bythotrephes cederstroemi,-1,1,,,,,The caudal appendage of the cladoceran Bythotrephes cederstroemi as defense against young fish,13,,,1991,Journal of Plankton Research,Barnhisel D.
Oncorhynchus mykiss,Bythotrephes cederstroemi,-1,-1,,,,,The caudal appendage of the cladoceran Bythotrephes cederstroemi as defense against young fish,13,,,1991,Journal of Plankton Research,Barnhisel D.
Abramis brama,Copepoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Ostracoda,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
Abramis brama,Mollusca,-1,3,,,,,The food of bream (Abramis brama L.) in two basins of lake Balaton of different trophic status,209,,,1991,Hydrobiologia,Biro P. 
